Month,Volatility
January 2000,1
February 2000,1
March 2000,1
April 2000,1
May 2000,1
June 2000,0
July 2000,1
August 2000,0
September 2000,0
October 2000,0
November 2000,0
December 2001,0
January 2001,0
February 2001,0
March 2001,1
April 2001,1
May 2001,0
June 2001,0
July 2001,1
August 2001,0
September 2001,1
October 2001,0
November 2001,0
December 2002,0
January 2002,0
February 2002,1
March 2002,0
April 2002,0
May 2002,0
June 2002,0
July 2002,0
August 2002,0
September 2002,0
October 2002,0
November 2002,0
December 2003,0
January 2003,0
February 2003,0
March 2003,0
April 2003,0
May 2003,0
June 2003,0
July 2003,0
August 2003,0
September 2003,0
October 2003,0
November 2003,0
December 2004,0
January 2004,1
February 2004,0
March 2004,0
April 2004,0
May 2004,1
June 2004,1
July 2004,0
August 2004,1
September 2004,0
October 2004,0
November 2004,0
December 2005,0
January 2005,0
February 2005,0
March 2005,0
April 2005,0
May 2005,0
June 2005,0
July 2005,0
August 2005,1
September 2005,1
October 2005,0
November 2005,0
December 2006,0
January 2006,0
February 2006,0
March 2006,0
April 2006,0
May 2006,0
June 2006,1
July 2006,0
August 2006,0
September 2006,0
October 2006,0
November 2006,0
December 2007,0
January 2007,0
February 2007,0
March 2007,0
April 2007,0
May 2007,0
June 2007,0
July 2007,0
August 2007,0
September 2007,0
October 2007,0
November 2007,0
December 2008,0
January 2008,1
February 2008,0
March 2008,0
April 2008,0
May 2008,0
June 2008,0
July 2008,0
August 2008,1
September 2008,0
October 2008,1
November 2008,1
December 2009,0
January 2009,0
February 2009,0
March 2009,0
April 2009,0
May 2009,1
June 2009,0
July 2009,0
August 2009,0
September 2009,0
October 2009,0
November 2009,0
December 2010,0
January 2010,0
February 2010,0
March 2010,0
April 2010,0
May 2010,0
June 2010,0
July 2010,0
August 2010,0
September 2010,1
October 2010,0
November 2010,1
December 2011,0
January 2011,0
February 2011,0
March 2011,0
April 2011,0
May 2011,0
June 2011,0
July 2011,0
August 2011,0
September 2011,0
October 2011,0
November 2011,0
December 2012,0
